"author","n","aff"
"Dolan L M",1,"none"
"Doley J R",1,"none"
"Donahue K",1,"none"
"Dones A",1,"none"
"Donovan K",1,"none"
"Doreleijers T A H",2,"none"
"Doyle D M",1,"none"
"Draeger J H",1,"none"
"Dreijerink K M A",1,"none"
"Dubois V",1,"none"
"Ducheny K",1,"WPATH SOC8"
"Ducluzeau P H",1,"none"
"Duisin D",1,"none"
"Dukhanin V",1,"none"
"Dulohery K",1,"none"
"Dunsford M",1,"none"
"DurazoArvizu R",1,"none"
"Durwood L",3,"none"
"Dwairy A",1,"none"
"Eade D",1,"none"
"Earp B D",1,"none"
"Eaton N R",1,"none"
"Eble D",1,"none"
"Ecklund K",1,"none"
"Edmiston E K",2,"WPATH SOC8"
"EdwardsLeeper L",1,"WPATH SOC8"
"Egloff M",1,"none"
"Ehrbar R",1,"WPATH SOC8"
"Ehrensaft D",4,"WPATH SOC8"
"Eisfeld J",1,"WPATH SOC8"
"Elaut E",1,"WPATH SOC8"
"Elder C V",1,"none"
"Elfering L",1,"none"
"Elkadi J",1,"none"
"Elovainio M",1,"none"
"Enxuga G",3,"none"
"Era R",1,"none"
"EricksonSchroth L",1,"WPATH SOC8"
"Erskine H E",1,"none"
"Estrada C",1,"none"
"Ettinger R E",1,"none"
"Ettner R",1,"WPATH SOC8"
"Eugster E A",1,"none"
"Evans M",4,"none"
"Evans N",1,"none"
"ExpósitoCampos P",7,"SEGM-funded"
"Fahrenkrug S",2,"none"
"Faino A V",1,"none"
"Fauchier L",2,"none"
"Feldman J L",1,"WPATH SOC8"
"Ferlin A",1,"none"
"Fernandez M I",1,"none"
"Ferrando C A",1,"none"
"Fighera T M",1,"none"
"Finkelhor D",1,"none"
"Finlayson C",1,"none"
"Fisher A D",1,"WPATH SOC8"
"Fitzsimmons C L",1,"none"
"Flanders W D",1,"none"
"Flentje A",1,"none"
"Flütsch N",1,"none"
"Fontanari A M V",1,"none"
"Forgione J",1,"none"
"Fortunato A",1,"none"
"Fournier J C",1,"none"
"Frank L",1,"none"
"Fraser L",9,"WPATH SOC8"
"Freedman D E P",1,"none"
"Freire S N D",1,"none"
"French M",1,"none"
"Freton L",1,"none"
"Friedmann C",1,"none"
"Frisell T",1,"none"
"Frisen L",1,"none"
"Frydenlund S W",1,"none"
"Fuchs M",1,"none"
"Fuentes A",1,"none"
"Fuld J",1,"none"
"Fysh M C",1,"none"
"Gallagher N M",2,"none"
"Gamble J",1,"none"
"Gander M",1,"none"
"Ganesh A",1,"none"
"Ganger S",1,"none"
"Ganor O",1,"none"
"Ganson K T",1,"none"
"García D V",1,"none"
"Garcia M M",1,"WPATH SOC8"
"Gardner I",1,"none"
"Garland F",1,"none"
"Garner M",1,"none"
"Garofalo R",5,"none"
"Garolla A",1,"none"
"GawlikStarzyk A M",1,"none"
"Geels R E S",1,"none"
"Geierstanger S",1,"none"
"Genet T",1,"none"
"Gerritse K",1,"none"
"Gessler D",1,"none"
"Getahun D",2,"none"
"Gieles N C",1,"none"
"Gijs L",1,"none"
"Gillam L",1,"none"
"Gillberg C",4,"none"
"Gilmore J",1,"none"
"Giordano S",3,"none"
"Giovanardi G",3,"none"
"Giraldo Martínez L D",1,"none"
"Glidden D V",2,"none"
"GobrchtKeller U",1,"none"
"Goecker D",1,"none"
"Gohil A",1,"none"
"Gold S",1,"none"
"Golovko G",1,"none"
"Gomes Porras M",1,"none"
"Gómez Balaguer M",1,"none"
"GómezGil E",1,"none"
"GomezLobo V",1,"none"
"Goodman M",4,"WPATH SOC8"
"Goodwin I A",1,"none"
"Gooren L J G",5,"none"
"Gopalan M",1,"none"
"Gordon C M",1,"none"
"Gorin M",3,"none"
"Gould W A",4,"none"
"Goulding R B",1,"none"
