"journal","n","apc","parent","profit"
"Neuropsychiatric Disease and Treatment",1,3940,"Taylor & Francis",3940
"neuropsychiatrie",1,3390,"Springer Nature",3390
"New England Journal of Medicine",3,0,"NEJM Group",0
"Nordic Journal of Psychiatry",3,3607,"Taylor & Francis",10821
"Nutrients",1,3610,"MDPI",3610
"Pediatric Nephrology",1,4690,"Springer Nature",4690
"Pediatrics",10,3100,"American Academy of Pediatrics",31000
"Plastic and Reconstructive Surgery - Global Open",2,2765,"American Society of Plastic Surgeons",5530
"PLOS Global Public Health",3,2596,"PLoS",7788
"PLOS ONE",3,2477,"PLoS",7431
"Porto Biomedical Journal",1,0,"Elsevier",0
"Psychiatria Fennica",1,0,"Finnish Foundation for Psychiatric Research",0
"Psychiatry Research",2,4020,"Elsevier",8040
"Psychodynamic Psychiatry",1,0,"Guilford Press",0
"Psychological Perspectives",1,2840,"Taylor & Francis",2840
"Psychology of Sexual Orientation and Gender Diversity",2,3500,"American Psychological Association",7000
"Psychoneuroendocrinology",4,3780,"Elsevier",15120
"Public Health Reports",1,4710,"Sage Publications",4710
"Reproduction and Fertility",1,2402,"Bioscientifica",2402
"Reproductive BioMedicine Online",1,3830,"Elsevier",3830
"Research Connections",1,2150,"Oxford University Press",2150
"Reviews in Endocrine and Metabolic Disorders",1,5890,"Springer Nature",5890
"Scientific Reports",2,2850,"Springer Nature",5700
"Suom Lääkäril [Finnish Medical Journal]",1,0,"Finnish Medical Association",0
"Swiss Medical Weekly",1,0,"PKP Publishing",0
"The American Journal of Bioethics",1,4320,"Taylor & Francis",4320
"The British Journal of Psychiatry",1,5070,"Cambridge University Press",5070
"The International Journal of Psychoanalysis",4,3607,"Taylor & Francis",14428
"The Journal of Adolescent Health: Official Publication of the Society for Adolescent Medicine",2,4070,"Elsevier",8140
"The Journal of Clinical Endocrinology & Metabolism",11,3938,"Oxford University Press",43318
"The Journal of Clinical Endocrinology and Metabolism",1,3938,"Oxford University Press",3938
"The Journal of LGBTQ+ Mental Health",1,4320,"Taylor & Francis",4320
"The Journal of Medicine and Philosophy: A Forum for Bioethics and Philosophy of Medicine",1,4172,"Oxford University Press",4172
"The Journal of Pediatrics",4,4510,"Elsevier",18040
"The Journal of Sexual Medicine",13,3728,"Oxford University Press",48464
"The Lancet Child & Adolescent Health",5,8090,"Elsevier",40450
"The Lancet Regional Health - Americas",2,5800,"Elsevier",11600
"The Lancet Regional Health – Western Pacific",1,5010,"Elsevier",5010
"The Linacre Quarterly",1,4440,"Sage Publications",4440
"The Medico-Legal Journal",1,4170,"Sage Publications",4170
"The New Bioethics",2,3272,"Taylor & Francis",6544
"The Psychoanalytic Study of the Child",1,3565,"Taylor & Francis",3565
"Thorax",1,6006,"BMJ Group",6006
"Tijdschrift Voor Psychotherapie",1,0,NA,0
"Transgender Health",2,4440,"Sage Publications",8880
"Translational Andrology and Urology",1,1900,"AME Publishing",1900
"Women",1,1494,"MDPI",1494
"World Journal of Urology",1,4690,"Springer Nature",4690
"Youth & Society",1,3910,"Sage Publications",3910
"Zeitschrift für Kinder- und Jugendpsychiatrie und Psychotherapie",1,0,"Hogrefe",0
