"title","journal","authors","abstract","doi_link","year"
"Socioeconomic status among Dutch adults using gender-affirming hormone therapy: comparison with the general population and trajectories around hormone therapy initiation","International Journal of Transgender Health","van Zijverden, L. M., Burgwal, A., van Diemen, J. J. K., van der Miesen, A. I. R., de Vries, A. L. C., Thijs, A., den Heijer, M.","van Zijverden, L. M., Burgwal, A., van Diemen, J. J. K., van der Miesen, A. I. R., de Vries, A. L. C., Thijs, A., den Heijer, M.
(2026)
  Socioeconomic status among Dutch adults using gender-affirming hormone therapy: comparison with the general population and trajectories around hormone therapy initiation.
    International Journal of Transgender Health","van Zijverden, L. M., Burgwal, A., van Diemen, J. J. K., van der Miesen, A. I. R., de Vries, A. L. C., Thijs, A., den Heijer, M.
(2026)
  Socioeconomic status among Dutch adults using gender-affirming hormone therapy: comparison with the general population and trajectories around hormone therapy initiation.
    International Journal of Transgender Health",2026
"Anger, Aggression, and Irritability in Transgender and Gender Diverse Youth Following Testosterone Initiation: A 12-Month Longitudinal Analysis","Journal of Adolescent Health","Huit, T. Z., Whitehead, J., Chan, Y. M., Ehrensaft, D., Garofalo, R., Hidalgo, M. A., Olson-Kennedy, J., Rosenthal, S. M., Chen, D.","Huit, T. Z., Whitehead, J., Chan, Y. M., Ehrensaft, D., Garofalo, R., Hidalgo, M. A., Olson-Kennedy, J., Rosenthal, S. M., Chen, D.
(2026)
  Anger, Aggression, and Irritability in Transgender and Gender Diverse Youth Following Testosterone Initiation: A 12-Month Longitudinal Analysis.
    Journal of Adolescent Health","Huit, T. Z., Whitehead, J., Chan, Y. M., Ehrensaft, D., Garofalo, R., Hidalgo, M. A., Olson-Kennedy, J., Rosenthal, S. M., Chen, D.
(2026)
  Anger, Aggression, and Irritability in Transgender and Gender Diverse Youth Following Testosterone Initiation: A 12-Month Longitudinal Analysis.
    Journal of Adolescent Health",2026
"Heart rate variability in transgender people receiving Gender-Affirming hormone therapy","Endocrine","Allgayer, R. M., Bueno, L. H., Silva, E. D. D., Fighera, T. M., Moraes, R. S., Spritzer, P. M.","Allgayer, R. M., Bueno, L. H., Silva, E. D. D., Fighera, T. M., Moraes, R. S., Spritzer, P. M.
(2026)
  Heart rate variability in transgender people receiving Gender-Affirming hormone therapy.
    Endocrine","Allgayer, R. M., Bueno, L. H., Silva, E. D. D., Fighera, T. M., Moraes, R. S., Spritzer, P. M.
(2026)
  Heart rate variability in transgender people receiving Gender-Affirming hormone therapy.
    Endocrine",2026
"Cardiovascular mortality associated with testosterone therapy in cisgender women and transgender men: a systematic review","Frontiers in Endocrinology","Viana, D. P. D. C., Câmara, L. C., Alto, L. D. S. M.","Viana, D. P. D. C., Câmara, L. C., Alto, L. D. S. M.
(2026)
  Cardiovascular mortality associated with testosterone therapy in cisgender women and transgender men: a systematic review.
    Frontiers in Endocrinology","Viana, D. P. D. C., Câmara, L. C., Alto, L. D. S. M.
(2026)
  Cardiovascular mortality associated with testosterone therapy in cisgender women and transgender men: a systematic review.
    Frontiers in Endocrinology",2026
"All-cause and cause-specific mortality among transgender and gender diverse people: a nationwide cohort study in Australia","The Lancet Regional Health – Western Pacific","Saxby, K., Bailey, S., Petrie, D., Nolan, B. J.","Saxby, K., Bailey, S., Petrie, D., Nolan, B. J.
(2026)
  All-cause and cause-specific mortality among transgender and gender diverse people: a nationwide cohort study in Australia.
    The Lancet Regional Health – Western Pacific","Saxby, K., Bailey, S., Petrie, D., Nolan, B. J.
(2026)
  All-cause and cause-specific mortality among transgender and gender diverse people: a nationwide cohort study in Australia.
    The Lancet Regional Health – Western Pacific",2026
"Effects of gender-affirming hormone therapy from adolescence to adulthood on bone mineral density, body composition and muscle strength","eClinicalMedicine","Ciancia, S., Vervalcke, J., Klink, D., T&#039;Sjoen, G., Cools, M.","Ciancia, S., Vervalcke, J., Klink, D., T&#039;Sjoen, G., Cools, M.
(2026)
  Effects of gender-affirming hormone therapy from adolescence to adulthood on bone mineral density, body composition and muscle strength.
    eClinicalMedicine","Ciancia, S., Vervalcke, J., Klink, D., T&#039;Sjoen, G., Cools, M.
(2026)
  Effects of gender-affirming hormone therapy from adolescence to adulthood on bone mineral density, body composition and muscle strength.
    eClinicalMedicine",2026
"Cerebral Venous Sinus Thrombosis Associated With Testosterone Use as Gender-Affirming Hormone Therapy in a Transgender Patient: Case Report and Literature Review","Clinical Case Reports","Rojas-Oviedo, J. L., Giraldo Martínez, L. D., Vargas Fiesco, D. C., Mejía Pérez, D. L.","Rojas-Oviedo, J. L., Giraldo Martínez, L. D., Vargas Fiesco, D. C., Mejía Pérez, D. L.
(2026)
  Cerebral Venous Sinus Thrombosis Associated With Testosterone Use as Gender-Affirming Hormone Therapy in a Transgender Patient: Case Report and Literature Review.
    Clinical Case Reports","Rojas-Oviedo, J. L., Giraldo Martínez, L. D., Vargas Fiesco, D. C., Mejía Pérez, D. L.
(2026)
  Cerebral Venous Sinus Thrombosis Associated With Testosterone Use as Gender-Affirming Hormone Therapy in a Transgender Patient: Case Report and Literature Review.
    Clinical Case Reports",2026
"Emerging and accumulating safety signals for the use of estrogen among transgender women","Discover Mental Health","Schwartz, L., Lal, M., Cohn, J., Mendoza, C. D., MacMillan, L.","Schwartz, L., Lal, M., Cohn, J., Mendoza, C. D., MacMillan, L.
(2025)
  Emerging and accumulating safety signals for the use of estrogen among transgender women.
    Discover Mental Health","Schwartz, L., Lal, M., Cohn, J., Mendoza, C. D., MacMillan, L.
(2025)
  Emerging and accumulating safety signals for the use of estrogen among transgender women.
    Discover Mental Health",2025
"Pelvic Floor Dysfunction in Transgender Men on Gender-affirming Hormone Therapy: A Descriptive Cross-sectional Study","International Urogynecology Journal","Da Silva, L. M. B., Freire, S. N. D., Moretti, E., Barbosa, L.","Da Silva, L. M. B., Freire, S. N. D., Moretti, E., Barbosa, L.
(2024)
  Pelvic Floor Dysfunction in Transgender Men on Gender-affirming Hormone Therapy: A Descriptive Cross-sectional Study.
    International Urogynecology Journal","Da Silva, L. M. B., Freire, S. N. D., Moretti, E., Barbosa, L.
(2024)
  Pelvic Floor Dysfunction in Transgender Men on Gender-affirming Hormone Therapy: A Descriptive Cross-sectional Study.
    International Urogynecology Journal",2024
"Changes in depression symptom profile with gender-affirming hormone use in transgender persons","Journal of Affective Disorders","Morssinkhof, M. W., Wiepjes, C. M., Van Den Heuvel, O. A., Kreukels, B. P., van der Tuuk, K., T`Sjoen, G., Den Heijer, M., Broekman, B. F.","Morssinkhof, M. W., Wiepjes, C. M., Van Den Heuvel, O. A., Kreukels, B. P., van der Tuuk, K., T`Sjoen, G., Den Heijer, M., Broekman, B. F.
(2024)
  Changes in depression symptom profile with gender-affirming hormone use in transgender persons.
    Journal of Affective Disorders","Morssinkhof, M. W., Wiepjes, C. M., Van Den Heuvel, O. A., Kreukels, B. P., van der Tuuk, K., T`Sjoen, G., Den Heijer, M., Broekman, B. F.
(2024)
  Changes in depression symptom profile with gender-affirming hormone use in transgender persons.
    Journal of Affective Disorders",2024
"The dose-dependent effect of estrogen on bone mineral density in trans girls","European Journal of Endocrinology","Boogers, L. S., Van Der Loos, M. A. T. C., Wiepjes, C. M., Van Trotsenburg, A. S. P., Den Heijer, M., Hannema, S. E.","Boogers, L. S., Van Der Loos, M. A. T. C., Wiepjes, C. M., Van Trotsenburg, A. S. P., Den Heijer, M., Hannema, S. E.
(2023)
  The dose-dependent effect of estrogen on bone mineral density in trans girls.
    European Journal of Endocrinology","Boogers, L. S., Van Der Loos, M. A. T. C., Wiepjes, C. M., Van Trotsenburg, A. S. P., Den Heijer, M., Hannema, S. E.
(2023)
  The dose-dependent effect of estrogen on bone mineral density in trans girls.
    European Journal of Endocrinology",2023
